state,player_count,avg_coverage,coverage_gap,priority_score,missing_maxpreps_pct,missing_recruiting_pct,missing_advanced_stats_pct
FL,7,0.0,100.0,700.0,100.0,100.0,100.0
UT,1,0.0,100.0,100.0,100.0,100.0,100.0
WV,1,0.0,100.0,100.0,100.0,100.0,100.0
NJ,2,0.0,100.0,200.0,100.0,100.0,100.0
GA,3,0.0,100.0,300.0,100.0,100.0,100.0
TX,1,0.0,100.0,100.0,100.0,100.0,100.0
KY,1,0.0,100.0,100.0,100.0,100.0,100.0
CA,3,0.0,100.0,300.0,100.0,100.0,100.0
MA,1,0.0,100.0,100.0,100.0,100.0,100.0
CO,1,0.0,100.0,100.0,100.0,100.0,100.0
KS,1,0.0,100.0,100.0,100.0,100.0,100.0
WA,1,0.0,100.0,100.0,100.0,100.0,100.0
MN,2,0.0,100.0,200.0,100.0,100.0,100.0
International,2,0.0,100.0,200.0,100.0,100.0,100.0
SC,2,0.0,100.0,200.0,100.0,100.0,100.0
PA,1,0.0,100.0,100.0,100.0,100.0,100.0
CT,1,0.0,100.0,100.0,100.0,100.0,100.0
